> No.0   color.3
103.112064   24.391661
103.111640   24.384098
103.111721   24.378030
103.111734   24.375879
103.112253   24.372733
103.112857   24.369510
103.113708   24.366671
103.114635   24.365139
103.115653   24.362378
103.116357   24.358751
103.116663   24.355210
103.115983   24.351104
103.115257   24.348346
103.114684   24.345987
103.113881   24.342526
103.112850   24.338708
103.111915   24.334914
103.110638   24.331780
103.109262   24.327930
103.107504   24.323084
103.106204   24.320228
103.105355   24.316846
103.103036   24.312229
103.102027   24.309185
> No.97   color.3
103.102027   24.309185
103.101961   24.308985
103.100964   24.305813
103.100673   24.302140
103.100534   24.300645
> No.98   color.3
103.205254   25.176232
103.202987   25.172054
103.201335   25.167426
103.200411   25.164042
103.198784   25.159649
103.195607   25.150635
103.194046   25.143628
103.192904   25.135374
103.190381   25.126475
103.186875   25.115217
103.183521   25.106468
103.179547   25.096682
103.178451   25.092925
103.177599   25.088975
103.176165   25.085464
> No.99   color.3
103.126384   24.615196
103.126025   24.609651
103.124573   24.603454
103.122243   24.599917
103.119716   24.596302
103.117978   24.588525
103.115216   24.582683
103.112112   24.577924
103.110441   24.573724
103.109851   24.570238
103.109837   24.566446
103.109514   24.562779
103.109360   24.559334
103.108967   24.555670
103.108801   24.551616
103.108674   24.546864
103.107931   24.540165
103.106880   24.532674
103.103862   24.526542
103.103256   24.523156
103.103673   24.519126
103.104798   24.514594
103.106197   24.503512
103.107257   24.488976
103.107963   24.483671
103.108764   24.479889
103.109526   24.476216
103.109970   24.472525
103.110416   24.468373
103.111029   24.464606
103.111136   24.460837
> No.100   color.3
103.136369   24.666647
103.134902   24.659074
103.133134   24.653163
103.131219   24.645597
103.129803   24.639861
103.128688   24.636156
103.128164   24.632050
103.127794   24.628043
103.127424   24.624226
103.126536   24.619095
103.126308   24.614764
> No.101   color.3
103.136404   24.666526
103.138842   24.675961
103.141004   24.683282
103.143362   24.690603
103.145131   24.696852
103.148472   24.705423
103.151371   24.714051
> No.102   color.3
103.151703   24.713845
103.155609   24.723317
103.157573   24.730964
103.159579   24.740268
103.158956   24.758781
103.159799   24.776105
103.164303   24.804634
103.172508   24.828513
103.174081   24.832297
> No.103   color.3
103.168588   25.014702
103.168999   25.011802
103.168995   25.008303
103.168886   25.003416
103.168146   24.995983
> No.104   color.3
103.172246   25.061676
103.174597   25.057887
103.175134   25.051736
103.175411   25.047331
103.175025   25.042213
103.173142   25.036048
103.170896   25.026316
103.170099   25.013757
> No.105   color.3
103.172828   25.061755
103.173064   25.063807
103.173712   25.066544
103.174197   25.068749
103.174432   25.071030
103.174817   25.075894
103.175127   25.079542
103.175497   25.085443
> No.106   color.3
103.232894   25.291648
103.230517   25.284341
103.227875   25.276435
103.225458   25.270333
103.223904   25.265892
103.222816   25.262308
103.221364   25.257637
103.218606   25.246983
103.217434   25.240639
103.216779   25.237765
103.216509   25.234547
103.216484   25.231717
103.216539   25.229458
> No.134   color.3
103.061156   25.166329
103.059014   25.155816
103.058157   25.150549
103.056915   25.144464
103.056240   25.137206
103.055595   25.126013
103.054740   25.112725
103.054651   25.110045
103.054760   25.107771
> No.135   color.3
103.033804   24.550352
103.035751   24.543257
103.036197   24.539493
103.035587   24.536401
103.035435   24.532050
103.035623   24.527062
103.035409   24.524352
103.035121   24.521001
103.034832   24.517793
103.033161   24.512654
103.031807   24.508482
103.030435   24.504621
103.028818   24.499922
103.026888   24.496196
103.023934   24.492353
103.021555   24.489369
103.017773   24.485418
103.014327   24.482709
103.010694   24.479814
103.008230   24.477764
103.004485   24.475692
103.000791   24.473705
> No.136   color.3
103.117045   24.887515
103.116079   24.883859
103.114032   24.877227
103.113508   24.873070
103.110807   24.865603
103.106471   24.856015
103.102407   24.847298
103.098333   24.839156
103.095633   24.831891
103.094698   24.823727
103.094421   24.815869
103.093357   24.810525
103.089549   24.804565
103.087076   24.799756
103.085147   24.794714
103.082840   24.787751
103.078979   24.778383
103.075226   24.772493
103.069403   24.760568
103.065070   24.751630
