> FaultNo.1   color.1
101.141064   27.785818
101.147891   27.781528
101.163321   27.772541
101.163555   27.772405
101.162891   27.772683
101.163321   27.772541
101.183369   27.765930
101.193721   27.764346
101.204082   27.764460
101.205762   27.764480
101.250020   27.768574
101.253671   27.768960
> FaultNo.112   color.1
101.253671   27.768960
101.253672   27.768960
101.253887   27.768982
101.313584   27.778948
101.320332   27.780303
101.323574   27.781252
101.323779   27.781309
101.338916   27.784846
101.344570   27.786477
101.347070   27.787195
101.350439   27.788650
101.355635   27.791074
101.385283   27.803594
101.411465   27.821448
101.418994   27.828572
101.423740   27.833955
101.449277   27.861079
101.480645   27.888179
101.499814   27.904207
101.527783   27.928645
101.534619   27.937866
101.545264   27.959351
101.548232   27.968550
101.565615   28.013079
101.586826   28.080544
101.591006   28.095632
101.594941   28.106941
101.596357   28.109771
> FaultNo.113   color.1
100.328984   29.893777
100.335332   29.888669
100.342500   29.883296
100.376133   29.854858
100.409678   29.831248
100.414453   29.827598
100.451289   29.799395
100.462168   29.791577
100.485186   29.775051
100.501475   29.760925
100.505664   29.757041
100.507412   29.755537
100.513584   29.750537
100.523252   29.739827
100.527588   29.734719
100.528105   29.734238
100.550801   29.711177
100.564229   29.700366
100.566885   29.698096
100.594355   29.678008
100.609883   29.665254
100.626514   29.650181
100.638506   29.639304
100.645352   29.632744
100.674580   29.605620
100.703438   29.585044
100.725283   29.569614
100.725430   29.569568
100.725801   29.569250
100.764922   29.536636
100.769844   29.532368
100.791240   29.514773
100.811504   29.493994
100.842891   29.454402
100.883193   29.410286
100.902988   29.394854
100.927510   29.380132
100.941777   29.369817
100.942578   29.369119
100.945801   29.366306
100.957578   29.357595
100.969063   29.345864
100.972393   29.341003
101.006436   29.291345
101.009512   29.287593
101.010967   29.285828
101.017168   29.277356
101.027275   29.259717
101.032725   29.248940
101.037969   29.238589
101.038418   29.237332
101.040859   29.230620
101.040996   29.230281
101.055977   29.181794
101.060703   29.166604
101.077607   29.109561
101.080244   29.097305
101.081660   29.091802
101.084355   29.064626
101.092686   29.035251
101.096816   29.019683
101.097363   29.017217
101.097998   29.014297
101.098115   29.013779
101.101523   28.992478
101.103379   28.973523
101.105488   28.943687
101.107373   28.934741
101.113086   28.896602
101.117246   28.858142
101.117920   28.849353
101.120400   28.816838
101.125469   28.784316
101.126816   28.777854
101.127744   28.773367
101.132354   28.751050
101.141709   28.718955
101.143926   28.713418
101.144219   28.712720
101.148818   28.701392
101.150029   28.699199
101.172969   28.666094
101.206250   28.613879
101.216572   28.599976
101.227979   28.571101
101.248828   28.484329
101.274248   28.434919
101.295010   28.388730
101.305400   28.373914
101.310254   28.369207
101.311992   28.367715
101.313740   28.366216
101.325059   28.358816
101.326455   28.357937
101.333174   28.354043
101.337773   28.352046
101.341660   28.349893
101.347520   28.347234
101.357461   28.340881
101.368125   28.331182
101.378975   28.317944
101.379121   28.317727
101.392979   28.296228
101.395215   28.292930
101.397441   28.289250
101.401904   28.281904
101.404336   28.277891
101.414404   28.259092
101.422314   28.240713
101.430693   28.213721
> FaultNo.114   color.1
102.379561   30.490042
102.372422   30.485203
102.347119   30.462122
> FaultNo.165   color.1
104.367958   32.283351
104.414707   32.302747
104.417871   32.303955
104.421514   32.305630
104.437588   32.309678
104.470264   32.314282
104.540820   32.321860
104.555898   32.324878
104.598613   32.339622
104.612891   32.347080
104.619102   32.351506
104.627598   32.357639
> FaultNo.166   color.1
105.843358   32.856573
105.838144   32.853531
105.833908   32.851033
105.828585   32.849077
105.825760   32.847013
105.821741   32.845384
105.817566   32.843734
105.813440   32.841252
105.811530   32.839626
105.809032   32.837780
105.806533   32.836259
105.802514   32.834847
105.799472   32.833435
105.794764   32.831169
105.791926   32.830510
105.788024   32.828331
105.783565   32.826101
105.780270   32.824581
105.776520   32.823618
105.775405   32.823365
> FaultNo.167   color.1
105.773480   32.822554
105.769881   32.821084
105.762128   32.818398
105.757666   32.816894
105.757617   32.816878
105.753867   32.816016
105.749103   32.814800
105.747348   32.814028
105.743613   32.812225
105.739620   32.810422
105.733567   32.807717
105.730250   32.805613
105.725491   32.802995
105.718828   32.799188
105.716627   32.797550
105.712150   32.794218
105.708747   32.792201
> FaultNo.168   color.1
104.701484   32.411641
104.696249   32.410332
104.687683   32.406763
104.679474   32.402837
104.666625   32.398672
104.656869   32.394152
104.651159   32.391177
104.645210   32.388679
104.636644   32.384039
104.631766   32.381421
> FaultNo.169   color.1
105.695569   32.785090
105.692000   32.781997
105.687479   32.779379
105.681887   32.777357
105.676295   32.774620
105.670585   32.771527
105.662732   32.768434
105.658092   32.767601
105.652977   32.765102
105.650359   32.764508
105.644054   32.760463
105.638105   32.757607
105.633584   32.755942
